,symboling,normalized-losses,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,city-L/100km,highway-L/100km,hp-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,convertible,hardtop,hatchback,sedan,wagon,price
0,3,122,alfa-romero,gas,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13.523809523809524,10.518518518518519,low,0,1,1,0,1,0,0,0,0,13495
1,3,122,alfa-romero,gas,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13.523809523809524,10.518518518518519,low,0,1,1,0,1,0,0,0,0,16500
2,1,122,alfa-romero,gas,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,14.947368421052632,10.923076923076923,medium,0,1,1,0,0,0,1,0,0,16500
3,2,164,audi,gas,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,11.833333333333334,9.466666666666667,low,0,1,1,0,0,0,0,1,0,13950
4,2,164,audi,gas,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,15.777777777777779,12.909090909090908,low,0,1,1,0,0,0,0,1,0,17450
5,2,122,audi,gas,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,14.947368421052632,11.36,low,0,1,1,0,0,0,0,1,0,15250
6,1,158,audi,gas,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,14.947368421052632,11.36,low,0,1,1,0,0,0,0,1,0,17710
7,1,122,audi,gas,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,14.947368421052632,11.36,low,0,1,1,0,0,0,0,0,1,18920
8,1,158,audi,gas,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,16.705882352941178,14.2,medium,0,1,0,1,0,0,0,1,0,23875
9,2,192,bmw,gas,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,12.347826086956522,9.793103448275861,low,0,1,1,0,0,0,0,1,0,16430
10,0,192,bmw,gas,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,12.347826086956522,9.793103448275861,low,0,1,1,0,0,0,0,1,0,16925
11,0,188,bmw,gas,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,13.523809523809524,10.142857142857142,medium,0,1,1,0,0,0,0,1,0,20970
12,0,188,bmw,gas,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,13.523809523809524,10.142857142857142,medium,0,1,1,0,0,0,0,1,0,21105
13,1,122,bmw,gas,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,14.2,11.36,medium,0,1,1,0,0,0,0,1,0,24565
